[Setup]
TimebaseHz=35000000
Samples=70

[Data]
-0.02745098
-0.03137255
-0.02745098
-0.02352941
-0.01176471
-0.007843138
0.01568628
0.02745098
0.03529412
0.03921569
0.03921569
0.03921569
0.03921569
0.03529412
0.03921569
0.03921569
0.01568628
0.003921569
-0.04313726
-0.06666667
-0.08627451
-0.07058824
0.05882353
0.1372549
0.3490196
0.3960785
0.3529412
0.2705882
-0.1215686
-0.2745098
-0.4980392
-0.4980392
-0.4901961
-0.3764706
0.03921569
0.1647059
0.3921569
0.4078432
0.282353
0.2117647
-0.003921569
-0.0627451
-0.1137255
-0.09803922
-0.03137255
-0.007843138
0.01568628
0.01176471
-0.02745098
-0.04313726
-0.05490196
-0.04705883
-0.003921569
0.01960784
0.05882353
0.06666667
0.05490196
0.04705883
0.007843138
-0.01176471
-0.03529412
-0.03137255
-0.02745098
-0.02352941
-0.02352941
-0.01960784
-0.01568628
-0.01176471
0
0

